Method,N,Estimate,Error
MonteCarlo,100,3.24,0.0984073
Markov,100,4,0.858407
MonteCarlo,10200,3.14627,0.00468186
Markov,10200,3.11765,0.0239456
MonteCarlo,20300,3.12374,0.0178488
Markov,20300,3.07645,0.0651395
MonteCarlo,30400,3.14013,0.00146107
Markov,30400,3.18237,0.0407758
MonteCarlo,40500,3.13106,0.0105309
Markov,40500,3.10291,0.0386791
MonteCarlo,50600,3.14711,0.00552197
Markov,50600,3.14735,0.00575913
MonteCarlo,60700,3.14998,0.00839087
Markov,60700,3.12211,0.0194839
MonteCarlo,70800,3.14333,0.00174068
Markov,70800,3.13814,0.00345706
MonteCarlo,80900,3.14388,0.00228868
Markov,80900,3.12969,0.0119017
MonteCarlo,91000,3.14624,0.0046491
Markov,91000,3.11081,0.0307795
MonteCarlo,101100,3.14556,0.0039662
Markov,101100,3.1291,0.0124928
MonteCarlo,111200,3.14353,0.00193253
Markov,111200,3.1655,0.0239109
MonteCarlo,121300,3.14892,0.00732738
Markov,121300,3.10523,0.0363659
MonteCarlo,131400,3.14457,0.00297356
Markov,131400,3.10195,0.0396444
MonteCarlo,141500,3.13747,0.00412269
Markov,141500,3.15042,0.00882431
MonteCarlo,151600,3.13383,0.0077668
Markov,151600,3.19559,0.054001
MonteCarlo,161700,3.14575,0.00415874
Markov,161700,3.11434,0.0272575
MonteCarlo,171800,3.14501,0.00341317
Markov,171800,3.16095,0.0193619
MonteCarlo,181900,3.13557,0.00602366
Markov,181900,3.13443,0.00716715
MonteCarlo,192000,3.13833,0.00325932
Markov,192000,3.16656,0.0249698
MonteCarlo,202100,3.14349,0.00190067
Markov,202100,3.09502,0.0465704
MonteCarlo,212200,3.13992,0.00166805
Markov,212200,3.16701,0.0254196
MonteCarlo,222300,3.14382,0.00223101
Markov,222300,3.12561,0.0159786
MonteCarlo,232400,3.13759,0.00400229
Markov,232400,3.11461,0.0269799
MonteCarlo,242500,3.1408,0.000792654
Markov,242500,3.12287,0.0187226
MonteCarlo,252600,3.13943,0.00216272
Markov,252600,3.12714,0.0144509
MonteCarlo,262700,3.13667,0.00491964
Markov,262700,3.13638,0.00520895
MonteCarlo,272800,3.14475,0.00315808
Markov,272800,3.15025,0.00865661
MonteCarlo,282900,3.138,0.00359336
Markov,282900,3.1555,0.0139111
MonteCarlo,293000,3.14466,0.00306264
Markov,293000,3.12209,0.0195039
MonteCarlo,303100,3.13541,0.0061786
Markov,303100,3.12401,0.0175808
MonteCarlo,313200,3.13997,0.0016182
Markov,313200,3.15507,0.0134776
MonteCarlo,323300,3.13793,0.00366503
Markov,323300,3.13967,0.00192052
MonteCarlo,333400,3.14104,0.000548862
Markov,333400,3.11345,0.0281433
MonteCarlo,343500,3.14502,0.00343209
Markov,343500,3.14688,0.00528362
MonteCarlo,353600,3.1466,0.00500237
Markov,353600,3.13629,0.00530306
MonteCarlo,363700,3.13893,0.00266497
Markov,363700,3.12848,0.0131131
MonteCarlo,373800,3.14065,0.000939898
Markov,373800,3.13531,0.00627965
MonteCarlo,383900,3.14109,0.000503828
Markov,383900,3.14555,0.00395567
MonteCarlo,394000,3.13847,0.00312565
Markov,394000,3.1437,0.00210278
MonteCarlo,404100,3.14231,0.000718655
Markov,404100,3.13623,0.00535905
MonteCarlo,414200,3.14459,0.0029945
Markov,414200,3.15773,0.0161379
MonteCarlo,424300,3.1403,0.00129569
Markov,424300,3.13599,0.00560397
MonteCarlo,434400,3.13828,0.00331457
Markov,434400,3.14837,0.00677751
MonteCarlo,444500,3.14508,0.00348721
Markov,444500,3.14118,0.000409302
MonteCarlo,454600,3.14457,0.002974
Markov,454600,3.11087,0.030726
MonteCarlo,464700,3.14373,0.00213879
Markov,464700,3.1417,0.000107368
MonteCarlo,474800,3.14052,0.00107033
Markov,474800,3.13098,0.0106154
MonteCarlo,484900,3.14049,0.00110183
Markov,484900,3.13459,0.00699995
MonteCarlo,495000,3.14213,0.00054068
Markov,495000,3.12611,0.0154836
MonteCarlo,505100,3.14118,0.000416649
Markov,505100,3.13975,0.00184211
MonteCarlo,515200,3.14301,0.00141977
Markov,515200,3.14801,0.00641977
MonteCarlo,525300,3.1425,0.000908774
Markov,525300,3.15539,0.0137928
MonteCarlo,535400,3.14001,0.00158518
Markov,535400,3.14503,0.00343536
MonteCarlo,545500,3.14128,0.000313094
Markov,545500,3.14995,0.00836152
MonteCarlo,555600,3.14303,0.0014383
Markov,555600,3.14166,7.04134e-05
MonteCarlo,565700,3.14169,9.37526e-05
Markov,565700,3.13674,0.00485587
MonteCarlo,575800,3.13815,0.00344052
Markov,575800,3.16456,0.0229714
MonteCarlo,585900,3.14103,0.000558347
Markov,585900,3.13018,0.0114134
MonteCarlo,596000,3.14121,0.0003846
Markov,596000,3.14566,0.00406506
MonteCarlo,606100,3.14169,0.000100136
Markov,606100,3.13307,0.0085189
MonteCarlo,616200,3.14315,0.00156217
Markov,616200,3.12334,0.0182561
MonteCarlo,626300,3.14138,0.00020993
Markov,626300,3.13534,0.00625176
MonteCarlo,636400,3.14349,0.001902
Markov,636400,3.13015,0.0114418
MonteCarlo,646500,3.14394,0.00234547
Markov,646500,3.14145,0.000141764
MonteCarlo,656600,3.14275,0.00116093
Markov,656600,3.15656,0.0149715
MonteCarlo,666700,3.14576,0.00416406
Markov,666700,3.13594,0.00565145
MonteCarlo,676800,3.14379,0.00219576
Markov,676800,3.13726,0.00432906
MonteCarlo,686900,3.14357,0.0019741
Markov,686900,3.12363,0.0179589
MonteCarlo,697000,3.14046,0.0011278
Markov,697000,3.14048,0.00111633
MonteCarlo,707100,3.14125,0.000339648
Markov,707100,3.13639,0.00520459
MonteCarlo,717200,3.14278,0.00119039
Markov,717200,3.14494,0.00334879
MonteCarlo,727300,3.14104,0.000550443
Markov,727300,3.14161,1.60361e-05
MonteCarlo,737400,3.14009,0.00150586
Markov,737400,3.14033,0.00126719
MonteCarlo,747500,3.14136,0.000236132
Markov,747500,3.14031,0.00127961
MonteCarlo,757600,3.14238,0.00078327
Markov,757600,3.1348,0.00678801
MonteCarlo,767700,3.1396,0.00199646
Markov,767700,3.14218,0.000587886
MonteCarlo,777800,3.1403,0.00128923
Markov,777800,3.14093,0.000666966
MonteCarlo,787900,3.13658,0.00501695
Markov,787900,3.15888,0.0172854
MonteCarlo,798000,3.14074,0.000850799
Markov,798000,3.12877,0.0128207
MonteCarlo,808100,3.14203,0.000434323
Markov,808100,3.15382,0.0122299
MonteCarlo,818200,3.14051,0.00107933
Markov,818200,3.15454,0.0129466
MonteCarlo,828300,3.14441,0.00281396
Markov,828300,3.14338,0.00179018
MonteCarlo,838400,3.14444,0.00284437
Markov,838400,3.13225,0.00934552
MonteCarlo,848500,3.14424,0.00264306
Markov,848500,3.12328,0.0183163
MonteCarlo,858600,3.14382,0.00223218
Markov,858600,3.14013,0.00146687
MonteCarlo,868700,3.13988,0.00171468
Markov,868700,3.14656,0.00497118
MonteCarlo,878800,3.14239,0.00080152
Markov,878800,3.14027,0.00132411
MonteCarlo,888900,3.14139,0.000199921
Markov,888900,3.14858,0.00699099
MonteCarlo,899000,3.14119,0.000404667
Markov,899000,3.15232,0.0107277
MonteCarlo,909100,3.14063,0.00096566
Markov,909100,3.13996,0.00163445
MonteCarlo,919200,3.14003,0.00156654
Markov,919200,3.13764,0.00395558
MonteCarlo,929300,3.14226,0.000669264
Markov,929300,3.13041,0.0111805
MonteCarlo,939400,3.14068,0.000911368
Markov,939400,3.13924,0.00235058
MonteCarlo,949500,3.14288,0.00128676
Markov,949500,3.13885,0.00274063
MonteCarlo,959600,3.14024,0.00135089
Markov,959600,3.13708,0.00451054
MonteCarlo,969700,3.14107,0.000522219
Markov,969700,3.12887,0.0127239
MonteCarlo,979800,3.14016,0.00143752
Markov,979800,3.15537,0.0137778
MonteCarlo,989900,3.1385,0.00308977
Markov,989900,3.15435,0.0127543
MonteCarlo,1000000,3.14314,0.00155135
Markov,1000000,3.14588,0.00428335
