N,Estimate,Error
100,3.16,0.0184073
10200,3.14706,0.00546617
20300,3.13025,0.0113463
30400,3.1175,0.0240927
40500,3.1523,0.0107036
50600,3.15874,0.0171425
60700,3.1368,0.0047887
70800,3.13706,0.00453051
80900,3.13543,0.0061662
91000,3.13925,0.00233991
101100,3.13773,0.00386763
111200,3.13978,0.00180848
121300,3.13487,0.00672044
131400,3.14043,0.00116647
141500,3.1412,0.00039124
151600,3.14699,0.00539943
161700,3.13647,0.0051177
171800,3.14319,0.0015971
181900,3.13962,0.00197748
192000,3.1369,0.00469682
202100,3.14041,0.00118691
212200,3.1397,0.00189426
222300,3.13609,0.00550628
232400,3.14618,0.00458635
242500,3.14222,0.000625903
252600,3.14109,0.000500017
262700,3.14718,0.00558664
272800,3.14051,0.00107946
282900,3.1432,0.00160989
293000,3.14665,0.00505581
303100,3.13774,0.00385593
313200,3.14135,0.000238886
323300,3.14382,0.00222423
333400,3.14133,0.00026092
343500,3.14428,0.00268682
353600,3.14103,0.000563242
363700,3.14141,0.000179401
373800,3.13943,0.0021598
383900,3.1475,0.00590409
394000,3.14735,0.0057576
404100,3.14528,0.00368822
414200,3.14381,0.00222193
424300,3.14383,0.00223954
434400,3.14543,0.00384013
444500,3.13948,0.00211009
454600,3.14608,0.00448742
464700,3.13958,0.00201013
474800,3.14233,0.000740961
484900,3.14144,0.000153182
495000,3.14026,0.00133407
505100,3.14088,0.000717579
515200,3.13619,0.00540477
525300,3.14265,0.00106107
535400,3.14093,0.000658772
545500,3.13918,0.00241758
555600,3.14002,0.00157106
565700,3.1387,0.00289016
575800,3.1405,0.00109248
585900,3.14576,0.00416601
596000,3.14141,0.000183258
606100,3.14318,0.00159164
616200,3.13846,0.00313761
626300,3.13921,0.00238141
636400,3.14236,0.000764355
646500,3.14193,0.000334647
656600,3.14217,0.000582186
666700,3.14028,0.00131367
676800,3.14144,0.000156483
686900,3.14175,0.000157237
697000,3.14398,0.00238439
707100,3.14222,0.000627683
717200,3.14465,0.00305319
727300,3.1394,0.00219488
737400,3.1402,0.00139195
747500,3.13951,0.00208229
757600,3.14289,0.00130069
767700,3.14335,0.00175501
777800,3.14233,0.000736994
787900,3.14186,0.000267989
798000,3.14161,1.6369e-05
808100,3.14075,0.000842746
818200,3.14233,0.000734406
828300,3.13871,0.00287963
838400,3.14316,0.00156574
848500,3.14446,0.00286934
858600,3.14208,0.000489806
868700,3.14083,0.000766131
878800,3.14008,0.00151528
888900,3.14351,0.00191955
899000,3.14119,0.000400218
909100,3.14119,0.000402465
919200,3.14171,0.000117529
929300,3.14142,0.000174382
939400,3.14183,0.000238302
949500,3.139,0.00258897
959600,3.14241,0.000820852
969700,3.14118,0.00041497
979800,3.14169,9.74873e-05
989900,3.14441,0.00281789
1000000,3.14015,0.00144465
